""
epoch,train_loss,train_acc,test_acc
""
epoch,train_loss,train_acc,test_acc
1,4.078917146643715,0.0008045220375061035,0.1543
2,3.56084292441073,0.00164888396859169,0.2119
3,3.171449947844991,0.0024054749310016632,0.3175
4,2.8498403242481944,0.003152298927307129,0.3525
5,2.6137593929724927,0.0037089452147483827,0.3979
6,2.4560918311023956,0.00407925546169281,0.4761
7,2.3329132713015426,0.0044113826751708985,0.4616
8,2.2277154157228787,0.004687671065330506,0.4469
9,2.137576705354559,0.004869815707206726,0.5228
10,2.0740728338661096,0.005062127113342285,0.5295
11,2.0332231320383602,0.005163614749908447,0.5028
12,2.058043374125,0.005184133052825928,0.5084
13,1.9561056063303253,0.005382117033004761,0.5545
14,1.9863470341543408,0.005367308855056763,0.5527
15,1.8700706353577812,0.0055485951900482175,0.5364
16,1.8751862498805345,0.005609629154205323,0.5811
17,1.8690453002519924,0.005620262622833252,0.5181
18,1.8604222519318465,0.005630367398262024,0.5656
19,1.8709923530478612,0.005662461519241333,0.5676
20,1.819016961033082,0.005738655924797058,0.575
21,1.8618270998720623,0.005695980191230774,0.5476
22,1.757056117820008,0.0058828026056289675,0.5279
23,1.795718866388511,0.005827892422676086,0.5624
24,1.8241223481000233,0.0057866370677948,0.5711
25,1.8256187932875456,0.005787736177444458,0.5477
26,1.7721108445121199,0.005880150198936463,0.5397
27,1.848173494991439,0.0057712095975875856,0.5427
28,1.7785384151941674,0.0058959293365478515,0.5379
29,1.7686647827667958,0.005896214246749878,0.5793
30,1.757731824274868,0.005906121134757996,0.5673
31,1.7055531796591972,0.005971459746360779,0.5544
32,1.7761709670276593,0.005815765857696533,0.5828
33,1.7573543169614299,0.005841773748397827,0.5971
34,1.722010131534713,0.0059075701236724855,0.5928
35,1.7131504277743952,0.005963612198829651,0.5978
36,1.7928186100157326,0.005826864838600159,0.5881
37,1.7117627532890691,0.005971265435218811,0.5971
38,1.7012668863281875,0.005970398783683777,0.585
39,1.8062501374412985,0.005794678330421448,0.5655
40,1.6815847931310648,0.0060262161493301394,0.6068
41,1.6776733226178553,0.006042733788490295,0.5371
42,1.641619035807412,0.006094443202018737,0.5932
43,1.7077252331292232,0.006020205020904541,0.5892
44,1.6605706080756224,0.00605259120464325,0.5874
45,1.7415983030558242,0.005930347442626953,0.6001
46,1.7150548673651713,0.005973281860351562,0.6008
47,1.7244373117871297,0.005947343111038208,0.5848
48,1.6563634945608465,0.006118197441101075,0.5879
49,1.6933140608355821,0.005987132787704468,0.5779
50,1.6193058227029298,0.006154366135597229,0.5885
