""
epoch,train_loss,train_acc,test_acc
""
epoch,train_loss,train_acc,test_acc
""
epoch,train_loss,train_acc,test_acc
1,3.941557298231003,0.093299999833107,0.1559
2,3.281364507992249,0.1978600025177002,0.2354
3,2.809268309941987,0.2907400131225586,0.3364
4,2.366203409631539,0.3765600025653839,0.3644
5,2.1537749422785573,0.42882001399993896,0.4297
6,1.9409500144021896,0.4808200001716614,0.4333
7,1.8274864607759753,0.5085200071334839,0.4787
8,1.7347101768874147,0.5324599742889404,0.5074
9,1.6462026697290524,0.545799970626831,0.5256
10,1.5712532448341778,0.5711399912834167,0.525
11,1.6190941806339547,0.5686799883842468,0.5402
12,1.5143090983485932,0.5884600281715393,0.5204
13,1.532497408140041,0.5842800140380859,0.5692
14,1.4979362124982087,0.6000000238418579,0.5572
15,1.4247453856041363,0.6122999787330627,0.5494
16,1.3826387619118556,0.6219599843025208,0.533
17,1.355390044124535,0.6270800232887268,0.5699
18,1.3209866288372927,0.6350200176239014,0.5766
19,1.341914352858463,0.6316199898719788,0.5645
20,1.317497256314358,0.6379200220108032,0.5623
21,1.3249530571196086,0.6370999813079834,0.5412
22,1.2906630145924172,0.6416599750518799,0.5927
23,1.266212056512418,0.6523200273513794,0.5959
24,1.2263938397397776,0.6585599780082703,0.5959
25,1.2753503786023621,0.6493800282478333,0.5785
26,1.2333711811038843,0.6589000225067139,0.5776
27,1.2659476353689227,0.6599599719047546,0.5756
28,1.2414322625035825,0.6598600149154663,0.554
29,1.2574588834782086,0.6584799885749817,0.5648
30,1.2203758517494592,0.6640200018882751,0.5954
31,1.210342400671576,0.6652399897575378,0.5944
32,1.230797815505806,0.6585400104522705,0.6091
33,1.2181932909409408,0.6668400168418884,0.5811
34,1.2210107933529808,0.6656399965286255,0.5532
35,1.2157547862633415,0.667460024356842,0.5481
36,1.1751596127324702,0.6745200157165527,0.5413
37,1.1966302038153724,0.6733599901199341,0.6068
38,1.2159059366301808,0.6668000221252441,0.5632
39,1.1815708384794348,0.6764600276947021,0.5755
40,1.187666876236801,0.6759200096130371,0.5615
41,1.1772799923291901,0.677079975605011,0.5743
42,1.1537792094223334,0.6807600259780884,0.588
43,1.11445693835578,0.6897799968719482,0.5658
44,1.12382490494672,0.6875799894332886,0.5764
45,1.1378165751771854,0.6859400272369385,0.6147
46,1.0982472228881952,0.6948800086975098,0.6044
47,1.2068318710912525,0.669979989528656,0.5923
48,1.1171339565835645,0.6919999718666077,0.5542
49,1.1545240843997282,0.6856799721717834,0.5823
50,1.1976414389927368,0.671779990196228,0.5765
