""
epoch,train_loss,train_acc,test_acc
1,3.9976537233728275,0.0009762856364250183,0.1638
2,3.4139430144863665,0.0019496403634548186,0.252
3,3.023221529353305,0.0027518036961555483,0.3293
4,2.6898793351009984,0.0035055479407310485,0.3861
5,2.488102452224478,0.0039713910222053525,0.4635
6,2.380658783876073,0.0042851269245147705,0.4845
7,2.2189676590892664,0.004656235575675964,0.5024
8,2.1439154315787508,0.004844406247138977,0.4925
9,2.09279053016087,0.005018801093101501,0.5208
10,2.0442465366914755,0.005106226801872254,0.5222
11,1.9985207005230057,0.005259212851524353,0.473
12,1.977635337873493,0.0053224855661392215,0.5028
13,1.9660320342959041,0.005396097898483276,0.5324
14,1.9893182058773382,0.005334672927856446,0.5408
15,1.9297395645809905,0.005482323169708252,0.5377
16,1.8848153682011168,0.005568779706954956,0.577
17,1.8782836151549884,0.005607272982597351,0.5576
18,1.9069964440582354,0.005580690503120422,0.5551
19,1.8368785271559225,0.005708799958229065,0.6076
20,1.862359173462519,0.005649145245552063,0.5788
21,1.4385144646515322,0.006810990571975708,0.7109
22,1.3905821967002985,0.006955380439758301,0.7202
23,1.3421552868755273,0.007099931240081787,0.7102
24,1.2598395533573903,0.007258038520812988,0.7231
25,1.2368835495865864,0.007313490509986877,0.7163
26,1.1486418141276025,0.007507190108299255,0.7161
27,1.230928824914386,0.007333856225013733,0.707
28,1.2508673161039572,0.007335879802703857,0.7016
29,1.1974924318016034,0.007478203773498535,0.7079
30,1.2249845426405788,0.0073980802297592164,0.7084
31,1.2143733817750535,0.007433179020881653,0.6862
32,1.1399721599295927,0.0075608032941818235,0.7094
33,1.2152118240780843,0.007438939809799194,0.698
34,1.1365246595171712,0.0076340889930725095,0.7047
35,1.125460400758192,0.0075889241695404055,0.6942
36,1.1719569639324228,0.007567551732063293,0.6927
37,1.0518415641525518,0.007802397012710571,0.6858
38,1.180458692295472,0.007569116353988647,0.6949
39,1.1651069977323112,0.007612088918685913,0.6959
40,1.105385532502628,0.007721373438835144,0.6959
41,0.9535504381179505,0.008233309388160706,0.7546
42,0.8669480094138313,0.008425211906433106,0.7518
43,0.8932902334291307,0.008425637483596801,0.7586
44,0.8818113761751548,0.008461264967918396,0.7582
45,0.8374086773151632,0.008561959862709046,0.7588
46,0.8728152880221224,0.008503143787384032,0.7611
47,0.8744732286600049,0.008481390476226806,0.7616
48,0.8207126115365406,0.00858301043510437,0.7625
49,0.7678560173172323,0.008702561855316163,0.7592
50,0.8223383422378842,0.008575666546821594,0.7619
